time,latitude,longitude,depth,mag,place
2023-12-26T10:19:21.571Z,-20.1824,-173.3691,10.0,4.3,"110 km ESE of Fangale’ounga, Tonga"
2023-12-26T08:59:29.949Z,-0.0357,122.9301,133.502,4.5,"65 km SSW of Gorontalo, Indonesia"
2023-12-26T08:14:02.434Z,25.9254,128.5175,10.0,4.4,"78 km SE of Katsuren-haebaru, Japan"
2023-12-26T07:54:38.850Z,-26.3295,-177.6896,181.294,4.6,south of the Fiji Islands
2023-12-26T07:24:25.190Z,19.6258,-68.8005,9.0,5.3,"72 km NE of Samaná, Dominican Republic"
2023-12-26T07:13:10.964Z,-5.3886,152.1649,39.342,4.6,"116 km S of Kokopo, Papua New Guinea"
2023-12-26T07:01:21.765Z,-17.1246,-175.1233,258.652,4.3,"191 km SW of Hihifo, Tonga"
2023-12-26T06:42:37.211Z,4.0237,126.6495,47.429,4.7,"201 km SE of Sarangani, Philippines"
2023-12-26T06:30:57.595Z,30.4391,138.5611,430.798,4.9,"Izu Islands, Japan region"
2023-12-26T04:28:42.184Z,-26.3057,-70.9694,35.0,4.0,"92 km W of Diego de Almagro, Chile"
2023-12-26T03:42:51.774Z,8.5556,126.5972,89.342,4.1,"35 km NE of Hinatuan, Philippines"
2023-12-26T03:31:38.887Z,-8.583,118.2004,141.603,4.6,"29 km W of Dompu, Indonesia"
2023-12-26T02:52:53.035Z,-22.9602,172.1791,10.0,4.5,southeast of the Loyalty Islands
2023-12-26T01:14:37.484Z,-19.6933,-177.5441,339.45,4.2,"285 km NW of Houma, Tonga"
2023-12-26T01:10:26.143Z,13.0976,145.8997,10.0,4.4,"119 km ESE of Yigo Village, Guam"
2023-12-26T00:35:41.760Z,0.6402,127.0955,67.704,4.4,"36 km WSW of Ternate, Indonesia"
2023-12-25T23:53:27.068Z,23.139,94.522,114.245,4.1,"57 km SSE of Mawlaik, Myanmar"
2023-12-25T23:03:56.507Z,34.7111,76.7782,34.705,4.6,"24 km S of Thang, India"
2023-12-25T22:16:27.881Z,8.5093,127.1231,10.0,4.5,"85 km ENE of Barcelona, Philippines"
2023-12-25T21:09:17.043Z,-17.9865,-178.2936,511.216,4.0,"253 km E of Levuka, Fiji"
2023-12-25T20:47:36.868Z,-41.2153,-90.7254,10.0,4.5,southeast of Easter Island
2023-12-25T20:34:20.850Z,-16.7457,176.8581,10.0,4.5,"115 km NNW of Lautoka, Fiji"
2023-12-25T18:38:07.447Z,12.9652,-88.818,67.307,4.2,"45 km SW of Puerto El Triunfo, El Salvador"
2023-12-25T17:32:35.442Z,53.4991,-163.4534,22.866,4.6,"150 km S of False Pass, Alaska"
2023-12-25T17:26:54.374Z,29.8364,51.561,10.0,4.2,"25 km NNW of Kāzerūn, Iran"
2023-12-25T17:14:25.880Z,18.8533,-65.4771,14.0,4.17,"58 km NNE of Luquillo, Puerto Rico"
2023-12-25T14:45:38.593Z,8.4007,126.3155,94.234,4.5,"3 km NNW of Hinatuan, Philippines"
2023-12-25T14:05:58.799Z,-38.6437,47.824,10.0,4.0,Southwest Indian Ridge
